Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	1.808e+01	1.000e+00	   -0.06°	    0.00°
    2   	2.000e+03	1.013e-04	5.602e-06	  119.08°	  119.15°
    3   	3.000e+03	1.102e-04	6.096e-06	   55.69°	   55.75°
    4   	4.000e+03	8.597e-05	4.755e-06	   81.87°	   81.93°
    5   	5.000e+03	5.115e-05	2.829e-06	   35.38°	   35.44°
    6   	6.000e+03	3.231e-05	1.787e-06	   54.24°	   54.30°
    7   	7.000e+03	8.037e-05	4.445e-06	  107.97°	  108.03°
    8   	8.000e+03	6.313e-05	3.491e-06	   61.00°	   61.07°
    9   	9.000e+03	1.463e-04	8.094e-06	  164.01°	  164.07°
   10   	1.000e+04	4.292e-05	2.374e-06	   60.81°	   60.88°
Total Harmonic Distortion: 0.001433%


Con arreglo magico

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	1.785e+01	1.000e+00	   -0.06°	    0.00°
    2   	2.000e+03	8.183e-05	4.584e-06	  129.80°	  129.86°
    3   	3.000e+03	7.837e-05	4.390e-06	   38.11°	   38.17°
    4   	4.000e+03	9.531e-05	5.339e-06	   73.63°	   73.70°
    5   	5.000e+03	7.733e-05	4.332e-06	   91.15°	   91.22°
    6   	6.000e+03	4.659e-05	2.610e-06	  109.40°	  109.46°
    7   	7.000e+03	3.718e-05	2.083e-06	   28.62°	   28.68°
    8   	8.000e+03	8.583e-05	4.808e-06	   48.62°	   48.68°
    9   	9.000e+03	9.646e-05	5.403e-06	  104.12°	  104.19°
   10   	1.000e+04	6.857e-05	3.841e-06	  102.09°	  102.16°
   11   	1.100e+04	1.043e-04	5.844e-06	   10.78°	   10.84°
   12   	1.200e+04	8.193e-05	4.589e-06	   35.73°	   35.79°
   13   	1.300e+04	6.343e-05	3.553e-06	   71.55°	   71.62°
   14   	1.400e+04	6.438e-05	3.607e-06	   96.42°	   96.49°
   15   	1.500e+04	7.403e-05	4.147e-06	  164.32°	  164.38°
   16   	1.600e+04	5.421e-05	3.037e-06	   21.57°	   21.63°
   17   	1.700e+04	1.531e-04	8.577e-06	   13.85°	   13.91°
   18   	1.800e+04	1.104e-04	6.185e-06	   73.49°	   73.55°
   19   	1.900e+04	3.981e-05	2.230e-06	   53.70°	   53.76°
   20   	2.000e+04	3.732e-05	2.091e-06	  -83.76°	  -83.69°
Total Harmonic Distortion: 0.001985%
