Fourier components of V(vout)
DC component:-0.00520258

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	9.707e+00	1.000e+00	   -0.09°	    0.00°
    2   	2.000e+03	4.784e-05	4.928e-06	  142.81°	  142.90°
    3   	3.000e+03	4.314e-05	4.444e-06	  156.41°	  156.51°
    4   	4.000e+03	3.129e-05	3.224e-06	 -114.45°	 -114.36°
    5   	5.000e+03	2.672e-05	2.753e-06	   23.29°	   23.38°
    6   	6.000e+03	3.005e-05	3.095e-06	  -24.26°	  -24.17°
    7   	7.000e+03	3.007e-05	3.098e-06	   -6.71°	   -6.62°
    8   	8.000e+03	4.900e-05	5.047e-06	   78.71°	   78.80°
    9   	9.000e+03	4.278e-05	4.407e-06	   49.52°	   49.61°
   10   	1.000e+04	4.141e-05	4.266e-06	   43.61°	   43.71°
   11   	1.100e+04	3.305e-05	3.405e-06	   61.24°	   61.33°
   12   	1.200e+04	4.575e-05	4.713e-06	   74.41°	   74.50°
   13   	1.300e+04	4.218e-05	4.345e-06	   79.63°	   79.72°
   14   	1.400e+04	4.536e-05	4.673e-06	   98.32°	   98.41°
   15   	1.500e+04	4.771e-05	4.914e-06	  133.27°	  133.36°
   16   	1.600e+04	3.113e-05	3.206e-06	  142.56°	  142.65°
   17   	1.700e+04	4.292e-05	4.422e-06	  159.35°	  159.44°
   18   	1.800e+04	3.890e-05	4.007e-06	 -145.73°	 -145.64°
   19   	1.900e+04	2.162e-05	2.228e-06	 -121.90°	 -121.81°
   20   	2.000e+04	3.220e-05	3.317e-06	 -139.36°	 -139.27°
Total Harmonic Distortion: 0.001746%
