Fourier components of V(vout)
DC component:-0.00530305

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	9.708e+00	1.000e+00	   -0.08°	    0.00°
    2   	2.000e+03	3.353e-04	3.454e-05	   77.26°	   77.34°
    3   	3.000e+03	5.520e-04	5.686e-05	   -5.38°	   -5.30°
    4   	4.000e+03	3.635e-04	3.744e-05	  -97.58°	  -97.50°
    5   	5.000e+03	3.716e-04	3.827e-05	  170.01°	  170.09°
    6   	6.000e+03	2.831e-04	2.916e-05	  130.51°	  130.59°
    7   	7.000e+03	8.253e-05	8.501e-06	  118.48°	  118.56°
    8   	8.000e+03	2.976e-04	3.065e-05	   -0.03°	    0.05°
    9   	9.000e+03	2.989e-04	3.079e-05	  -21.16°	  -21.08°
   10   	1.000e+04	1.528e-04	1.574e-05	   58.34°	   58.42°
   11   	1.100e+04	1.654e-04	1.704e-05	  -61.40°	  -61.32°
   12   	1.200e+04	7.590e-04	7.818e-05	 -168.51°	 -168.43°
   13   	1.300e+04	7.050e-04	7.262e-05	  123.65°	  123.73°
   14   	1.400e+04	8.411e-04	8.664e-05	   -3.50°	   -3.42°
   15   	1.500e+04	4.974e-04	5.123e-05	  -62.17°	  -62.09°
   16   	1.600e+04	5.180e-05	5.336e-06	 -105.52°	 -105.43°
   17   	1.700e+04	1.660e-04	1.710e-05	  143.07°	  143.15°
   18   	1.800e+04	5.681e-04	5.852e-05	  149.67°	  149.75°
   19   	1.900e+04	1.526e-04	1.572e-05	   -1.31°	   -1.23°
   20   	2.000e+04	1.053e-04	1.085e-05	  -20.75°	  -20.67°
Total Harmonic Distortion: 0.019044%
