Fourier components of V(vout)
DC component:-0.00115451

Fourier components of V(vout)
DC component:-0.00101282

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	9.700e+00	1.000e+00	   -0.83°	    0.00°
    2   	1.400e+04	4.214e-04	4.344e-05	 -178.15°	 -177.32°
    3   	2.100e+04	3.873e-04	3.993e-05	   58.49°	   59.32°
    4   	2.800e+04	2.999e-04	3.091e-05	  -91.13°	  -90.30°
    5   	3.500e+04	3.304e-04	3.406e-05	  132.09°	  132.92°
    6   	4.200e+04	2.672e-04	2.755e-05	    5.53°	    6.36°
    7   	4.900e+04	2.357e-04	2.430e-05	 -132.63°	 -131.80°
    8   	5.600e+04	2.325e-04	2.396e-05	   94.52°	   95.35°
    9   	6.300e+04	2.115e-04	2.181e-05	  -37.49°	  -36.66°
   10   	7.000e+04	1.814e-04	1.870e-05	 -172.30°	 -171.47°
   11   	7.700e+04	1.640e-04	1.691e-05	   50.71°	   51.54°
   12   	8.400e+04	1.465e-04	1.511e-05	  -81.61°	  -80.78°
   13   	9.100e+04	1.188e-04	1.224e-05	  142.32°	  143.15°
   14   	9.800e+04	1.016e-04	1.047e-05	    2.80°	    3.63°
   15   	1.050e+05	8.248e-05	8.503e-06	 -133.53°	 -132.70°
   16   	1.120e+05	6.063e-05	6.250e-06	   83.88°	   84.71°
   17   	1.190e+05	4.743e-05	4.889e-06	  -63.87°	  -63.04°
   18   	1.260e+05	3.531e-05	3.640e-06	  143.47°	  144.30°
   19   	1.330e+05	3.228e-05	3.328e-06	  -21.22°	  -20.39°
   20   	1.400e+05	3.574e-05	3.684e-06	 -177.91°	 -177.08°
Total Harmonic Distortion: 0.009640%
