Fourier components of V(vout)
DC component:-0.00257322

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	3.234e+01	1.000e+00	   -0.84°	    0.00°
    2   	1.400e+04	2.265e-03	7.005e-05	  -39.34°	  -38.50°
    3   	2.100e+04	9.985e-03	3.088e-04	   57.73°	   58.57°
    4   	2.800e+04	2.451e-03	7.580e-05	  152.22°	  153.06°
    5   	3.500e+04	3.365e-03	1.041e-04	  -53.30°	  -52.46°
    6   	4.200e+04	4.171e-04	1.290e-05	  100.24°	  101.08°
    7   	4.900e+04	2.481e-03	7.671e-05	  -79.29°	  -78.45°
    8   	5.600e+04	1.032e-03	3.192e-05	    4.11°	    4.95°
    9   	6.300e+04	1.484e-03	4.588e-05	 -178.31°	 -177.47°
   10   	7.000e+04	9.343e-04	2.889e-05	 -128.01°	 -127.17°
   11   	7.700e+04	1.103e-03	3.412e-05	  112.40°	  113.24°
   12   	8.400e+04	7.422e-04	2.295e-05	 -161.29°	 -160.44°
   13   	9.100e+04	2.743e-04	8.483e-06	  -12.53°	  -11.69°
   14   	9.800e+04	3.340e-04	1.033e-05	   59.42°	   60.26°
   15   	1.050e+05	1.070e-03	3.309e-05	  -58.09°	  -57.25°
   16   	1.120e+05	7.808e-04	2.415e-05	   35.53°	   36.37°
   17   	1.190e+05	9.414e-04	2.911e-05	  -92.33°	  -91.49°
   18   	1.260e+05	1.720e-04	5.318e-06	  -23.14°	  -22.30°
   19   	1.330e+05	5.791e-04	1.791e-05	 -110.76°	 -109.92°
   20   	1.400e+05	5.110e-04	1.580e-05	 -136.20°	 -135.36°
Total Harmonic Distortion: 0.036307%
