Fourier components of V(vout)
DC component:-0.00194101

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	3.236e+01	1.000e+00	   -0.75°	    0.00°
    2   	1.400e+04	1.654e-03	5.112e-05	   90.80°	   91.55°
    3   	2.100e+04	1.675e-03	5.175e-05	   90.47°	   91.22°
    4   	2.800e+04	1.602e-03	4.951e-05	   86.20°	   86.95°
    5   	3.500e+04	1.657e-03	5.119e-05	   85.95°	   86.70°
    6   	4.200e+04	1.743e-03	5.386e-05	   87.03°	   87.78°
    7   	4.900e+04	1.746e-03	5.396e-05	   90.73°	   91.48°
    8   	5.600e+04	1.770e-03	5.469e-05	   88.61°	   89.36°
    9   	6.300e+04	1.624e-03	5.019e-05	   76.19°	   76.94°
   10   	7.000e+04	1.456e-03	4.499e-05	   81.20°	   81.95°
Total Harmonic Distortion: 0.015398%
