Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	2.799e+01	1.000e+00	   -0.06°	    0.00°
    2   	2.000e+03	6.159e-05	2.200e-06	 -139.80°	 -139.74°
    3   	3.000e+03	1.234e-03	4.409e-05	   46.78°	   46.84°
    4   	4.000e+03	2.862e-04	1.022e-05	  116.13°	  116.19°
    5   	5.000e+03	2.939e-04	1.050e-05	 -130.47°	 -130.40°
    6   	6.000e+03	1.777e-04	6.350e-06	   13.69°	   13.75°
    7   	7.000e+03	8.225e-05	2.938e-06	  -59.45°	  -59.39°
    8   	8.000e+03	1.907e-04	6.812e-06	   98.63°	   98.69°
    9   	9.000e+03	3.351e-04	1.197e-05	   58.79°	   58.85°
   10   	1.000e+04	1.030e-04	3.679e-06	   15.70°	   15.76°
Total Harmonic Distortion: 0.004915%
