Fourier components of V(vout)
DC component:-0.00115451

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	9.700e+00	1.000e+00	   -0.83°	    0.00°
    2   	1.400e+04	2.399e-04	2.473e-05	 -113.69°	 -112.86°
    3   	2.100e+04	3.717e-04	3.832e-05	  -52.47°	  -51.64°
    4   	2.800e+04	1.784e-04	1.839e-05	  158.66°	  159.49°
    5   	3.500e+04	4.691e-04	4.836e-05	  -77.74°	  -76.91°
    6   	4.200e+04	8.018e-05	8.266e-06	  -51.63°	  -50.80°
    7   	4.900e+04	2.925e-04	3.016e-05	  -48.68°	  -47.85°
    8   	5.600e+04	1.552e-04	1.600e-05	  154.38°	  155.22°
    9   	6.300e+04	4.852e-04	5.002e-05	  -71.29°	  -70.46°
   10   	7.000e+04	1.449e-04	1.494e-05	   27.20°	   28.03°
   11   	7.700e+04	1.717e-04	1.770e-05	  -73.64°	  -72.81°
   12   	8.400e+04	7.708e-05	7.946e-06	 -155.77°	 -154.93°
   13   	9.100e+04	3.881e-04	4.001e-05	  -62.00°	  -61.17°
   14   	9.800e+04	1.302e-04	1.343e-05	   54.42°	   55.25°
   15   	1.050e+05	1.556e-04	1.604e-05	 -105.49°	 -104.66°
   16   	1.120e+05	1.203e-04	1.240e-05	 -104.96°	 -104.13°
   17   	1.190e+05	2.876e-04	2.964e-05	  -46.98°	  -46.15°
   18   	1.260e+05	1.230e-04	1.268e-05	  117.69°	  118.52°
   19   	1.330e+05	2.156e-04	2.223e-05	 -105.55°	 -104.71°
   20   	1.400e+05	1.152e-04	1.188e-05	  -81.34°	  -80.51°
Total Harmonic Distortion: 0.011384%
