Fourier components of V(vout)
DC component:-0.00195268

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	9.700e+00	1.000e+00	   -0.75°	    0.00°
    2   	1.400e+04	1.189e-03	1.226e-04	   88.45°	   89.20°
    3   	2.100e+04	7.325e-04	7.551e-05	   -2.81°	   -2.05°
    4   	2.800e+04	7.048e-04	7.266e-05	  -92.45°	  -91.69°
    5   	3.500e+04	5.641e-04	5.815e-05	  178.32°	  179.07°
    6   	4.200e+04	1.152e-05	1.187e-06	  -33.57°	  -32.81°
    7   	4.900e+04	3.068e-04	3.163e-05	  178.93°	  179.68°
    8   	5.600e+04	3.031e-04	3.125e-05	   83.09°	   83.85°
    9   	6.300e+04	3.307e-04	3.409e-05	   -8.14°	   -7.39°
   10   	7.000e+04	1.381e-04	1.424e-05	 -106.03°	 -105.28°
   11   	7.700e+04	5.096e-05	5.253e-06	   28.11°	   28.86°
   12   	8.400e+04	1.391e-04	1.434e-05	   94.77°	   95.53°
   13   	9.100e+04	9.176e-05	9.460e-06	   23.65°	   24.40°
   14   	9.800e+04	2.822e-04	2.909e-05	   85.63°	   86.38°
   15   	1.050e+05	2.832e-04	2.919e-05	   -3.89°	   -3.13°
   16   	1.120e+05	1.168e-04	1.204e-05	 -110.09°	 -109.33°
   17   	1.190e+05	8.549e-05	8.814e-06	  158.05°	  158.80°
   18   	1.260e+05	9.345e-05	9.634e-06	  -87.70°	  -86.94°
   19   	1.330e+05	1.658e-04	1.709e-05	  171.54°	  172.29°
   20   	1.400e+05	7.046e-05	7.264e-06	  -40.06°	  -39.30°
Total Harmonic Distortion: 0.018821%
