Fourier components of V(vout)
DC component:-0.015502

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	3.236e+01	1.000e+00	   -0.09°	    0.00°
    2   	2.000e+03	1.133e-03	3.501e-05	  -78.20°	  -78.10°
    3   	3.000e+03	2.125e-03	6.568e-05	   35.01°	   35.11°
    4   	4.000e+03	7.896e-04	2.440e-05	  117.48°	  117.58°
    5   	5.000e+03	7.175e-04	2.217e-05	 -156.78°	 -156.68°
    6   	6.000e+03	2.229e-04	6.887e-06	  -97.50°	  -97.41°
    7   	7.000e+03	3.383e-04	1.045e-05	  -40.97°	  -40.87°
    8   	8.000e+03	2.639e-04	8.154e-06	   25.38°	   25.47°
    9   	9.000e+03	1.111e-04	3.433e-06	 -133.69°	 -133.60°
   10   	1.000e+04	3.181e-04	9.829e-06	   93.00°	   93.09°
Total Harmonic Distortion: 0.008341%
