Fourier components of V(vout)
DC component:-0.00324039

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	3.235e+01	1.000e+00	   -0.75°	    0.00°
    2   	1.400e+04	1.321e-03	4.083e-05	  163.05°	  163.80°
    3   	2.100e+04	1.348e-03	4.166e-05	  -31.90°	  -31.14°
    4   	2.800e+04	1.233e-03	3.811e-05	  101.36°	  102.12°
    5   	3.500e+04	3.348e-03	1.035e-04	  -69.58°	  -68.82°
    6   	4.200e+04	1.446e-03	4.471e-05	  -46.21°	  -45.46°
    7   	4.900e+04	2.102e-03	6.498e-05	  126.91°	  127.66°
    8   	5.600e+04	7.909e-04	2.445e-05	 -143.33°	 -142.58°
    9   	6.300e+04	2.885e-04	8.919e-06	 -143.11°	 -142.35°
   10   	7.000e+04	5.162e-04	1.596e-05	 -126.82°	 -126.07°
   11   	7.700e+04	1.945e-03	6.012e-05	   83.79°	   84.54°
   12   	8.400e+04	1.267e-03	3.916e-05	   46.35°	   47.10°
   13   	9.100e+04	3.691e-04	1.141e-05	  163.85°	  164.60°
   14   	9.800e+04	6.168e-04	1.907e-05	  -98.42°	  -97.67°
   15   	1.050e+05	8.945e-04	2.765e-05	    8.42°	    9.17°
   16   	1.120e+05	7.812e-04	2.415e-05	   53.89°	   54.64°
   17   	1.190e+05	1.130e-03	3.493e-05	 -129.56°	 -128.81°
   18   	1.260e+05	6.606e-04	2.042e-05	  175.22°	  175.97°
   19   	1.330e+05	2.238e-04	6.920e-06	 -148.51°	 -147.76°
   20   	1.400e+05	3.477e-04	1.075e-05	    7.99°	    8.75°
Total Harmonic Distortion: 0.017751%
